BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
4	45	3	3965	1	1	1	0
4	45	4	4482	1	4	4	0
4	45	5	5449	1	3	3	0
4	45	6	6198	1	1	1	0
4	45	7	6715	1	2	2	0
4	45	8	7266	1	4	4	0
4	46	1	880	1	2	2	2
4	46	2	3397	1	3	3	2
4	46	3	3930	1	1	1	2
4	46	4	4797	1	4	4	2
4	46	5	5396	0	3	2	2
4	46	6	6246	1	1	1	2
4	46	7	6813	1	2	2	2
4	46	8	7480	1	4	4	2
4	47	1	1114	1	4	4	2
4	47	2	5879	1	3	3	2
4	47	3	6379	1	1	1	2
4	47	4	6912	1	4	4	2
4	47	5	7412	1	3	3	2
4	47	6	8179	1	1	1	2
4	47	7	8996	1	4	4	2
4	47	8	9695	1	2	2	2
4	48	1	1182	1	2	2	2
4	48	2	3882	1	3	3	2
4	48	3	4799	1	1	1	2
4	48	4	5332	1	4	4	2
4	48	5	5880	1	3	3	2
4	48	6	6482	1	1	1	2
4	48	7	6998	1	2	2	2
4	48	8	7498	1	4	4	2
4	49	1	849	1	2	2	0
4	49	2	3515	1	3	3	0
4	49	3	4149	1	1	1	0
4	49	4	4763	1	4	4	0
4	49	5	5497	1	3	3	0
4	49	6	6163	1	1	1	0
4	49	7	7714	1	2	2	0
4	49	8	8146	1	4	4	0
2	50	1	1117	1	3	3	1
2	50	2	3749	1	4	4	1
2	50	3	4316	1	2	2	1
2	50	4	4882	1	1	1	1
2	50	5	5531	1	3	3	1
2	50	6	6116	1	2	2	1
2	50	7	6749	1	4	4	1
2	50	8	7231	1	1	1	1
4	51	1	1031	1	2	2	0
4	51	2	3632	1	3	3	0
4	51	3	4116	1	1	1	0
4	51	4	4664	1	4	4	0
4	51	5	5498	1	3	3	0
4	51	6	5998	1	1	1	0
4	51	7	6498	1	2	2	0
4	51	8	6980	1	4	4	0
2	52	1	1081	1	3	3	1
2	52	2	3581	1	4	4	1
2	52	3	4547	1	2	2	1
2	52	4	5180	1	1	1	1
2	52	5	6032	1	3	3	1
2	52	6	6548	1	2	2	1
2	52	7	7098	1	4	4	1
2	52	8	7547	1	1	1	1
4	53	1	1116	1	2	2	0
4	53	2	3548	1	3	3	0
4	53	3	4330	1	1	1	0
4	53	4	4882	1	4	4	0
4	53	5	5715	1	3	3	0
4	53	6	6363	1	1	1	0
4	53	7	7048	1	2	2	0
4	53	8	7547	1	4	4	0
2	54	1	1498	1	3	3	1
2	54	2	4064	1	4	4	1
2	54	3	4531	0	2	3	1
2	54	4	5547	1	1	1	1
2	54	5	6481	1	3	3	1
2	54	6	6946	1	2	2	1
2	54	7	7514	1	4	4	1
2	54	8	7880	1	1	1	1
3	55	1	1414	1	3	3	1
3	55	2	3833	1	4	4	1
3	55	3	4366	1	2	2	1
3	55	4	4899	1	1	1	1
3	55	5	5880	1	3	3	1
3	55	6	6297	1	2	2	1
3	55	7	6813	1	4	4	1
3	55	8	7263	1	1	1	1
4	56	1	932	1	2	2	0
4	56	2	3816	1	3	3	0
4	56	3	4381	1	1	1	0
4	56	4	5183	1	4	4	0
4	56	5	6832	1	3	3	0
4	56	6	7464	0	1	2	0
4	56	7	9265	1	2	2	0
4	56	8	9746	1	4	4	0
4	57	1	1300	1	2	2	0
4	57	2	4232	1	3	3	0
4	57	3	4781	1	1	1	0
4	57	4	5399	1	4	4	0
4	57	5	6698	1	3	3	0
4	57	6	7432	1	1	1	0
4	57	7	8181	1	2	2	0
4	57	8	8765	0	4	3	0
4	58	1	1032	1	1	1	2
4	58	2	3565	1	3	3	2
4	58	3	4248	1	4	4	2
4	58	4	4832	1	2	2	2
4	58	5	5582	1	4	4	2
4	58	6	6081	1	1	1	2
4	58	7	6681	1	3	3	2
4	58	8	7364	1	2	2	2
3	59	1	1165	1	3	3	1
3	59	2	3565	1	4	4	1
3	59	3	4079	1	2	2	1
3	59	4	4531	1	1	1	1
3	59	5	5547	0	3	4	1
3	59	6	5713	0	2	3	1
3	59	7	6780	1	4	4	1
3	59	8	7162	1	1	1	1
5	60	1	1084	1	2	2	0
5	60	2	3500	1	3	3	0
5	60	3	3900	1	1	1	0
5	60	4	4332	1	4	4	0
5	60	5	4933	1	3	3	0
5	60	6	5700	0	1	3	0
5	60	7	6633	0	2	3	0
5	60	8	7698	1	4	4	0
3	61	1	549	0	3	4	1
3	61	2	3332	0	4	3	1
3	61	3	4499	1	2	2	1
3	61	4	5265	1	1	1	1
3	61	5	5847	0	3	4	1
3	61	6	7347	1	2	2	1
3	61	7	7996	1	4	4	1
3	61	8	8529	1	1	1	1
3	62	1	2116	1	3	3	1
3	62	2	4664	1	4	4	1
3	62	3	5198	1	2	2	1
3	62	4	5831	1	1	1	1
3	62	5	7082	1	3	3	1
3	62	6	8047	1	2	2	1
3	62	7	8731	1	4	4	1
3	62	8	9131	1	1	1	1
5	63	1	1099	1	4	4	2
5	63	2	3163	0	3	4	2
5	63	3	4214	1	1	1	2
5	63	4	4830	1	4	4	2
5	63	5	6030	1	3	3	2
5	63	6	6795	1	1	1	2
5	63	7	7295	1	4	4	2
5	63	8	7747	1	2	2	2
5	64	1	1313	1	2	2	0
5	64	2	3780	1	3	3	0
5	64	3	4329	1	1	1	0
5	64	4	4863	1	4	4	0
5	64	5	5745	1	3	3	0
5	64	6	6296	1	1	1	0
5	64	7	7462	1	2	2	0
5	64	8	7878	1	4	4	0
5	65	1	816	1	2	2	2
5	65	2	3466	1	1	1	2
5	65	3	4100	1	3	3	2
5	65	4	4750	1	4	4	2
5	65	5	5565	1	2	2	2
5	65	6	6033	1	4	4	2
5	65	7	6781	1	1	1	2
5	65	8	7381	1	2	2	2
4	66	1	866	0	3	2	1
4	66	2	4048	1	4	4	1
4	66	3	4516	1	2	2	1
4	66	4	5032	1	1	1	1
4	66	5	5833	1	3	3	1
4	66	6	6414	1	2	2	1
4	66	7	6981	1	4	4	1
4	66	8	7931	1	1	1	1
5	67	1	949	0	2	4	2
5	67	2	3015	0	1	2	2
5	67	3	4314	1	3	3	2
5	67	4	5033	1	4	4	2
5	67	5	5666	1	2	2	2
5	67	6	6263	0	4	3	2
5	67	7	7115	1	1	1	2
5	67	8	8096	1	2	2	2
4	68	1	1449	1	3	3	1
4	68	2	3882	1	4	4	1
4	68	3	4367	1	2	2	1
4	68	4	4899	1	1	1	1
4	68	5	5965	1	3	3	1
4	68	6	6565	1	2	2	1
4	68	7	7149	1	4	4	1
4	68	8	7648	1	1	1	1
5	69	1	915	1	2	2	0
5	69	2	3549	1	3	3	0
5	69	3	4216	1	1	1	0
5	69	4	4765	1	4	4	0
5	69	5	5848	1	3	3	0
5	69	6	6463	1	1	1	0
5	69	7	6997	1	2	2	0
5	69	8	7432	1	4	4	0
5	70	1	1030	1	2	2	0
5	70	2	3530	1	3	3	0
5	70	3	4048	1	1	1	0
5	70	4	5130	1	4	4	0
5	70	5	6097	1	3	3	0
5	70	6	6880	1	1	1	0
5	70	7	7430	1	2	2	0
5	70	8	7829	1	4	4	0
5	71	1	883	1	2	2	0
5	71	2	3333	1	3	3	0
5	71	3	3949	1	1	1	0
5	71	4	4764	1	4	4	0
5	71	5	5647	1	3	3	0
5	71	6	6214	1	1	1	0
5	71	7	6747	1	2	2	0
5	71	8	7365	1	4	4	0
5	72	1	846	1	2	2	0
5	72	2	3297	1	3	3	0
5	72	3	3764	1	1	1	0
5	72	4	4297	1	4	4	0
5	72	5	5197	1	3	3	0
5	72	6	5747	0	1	2	0
5	72	7	6446	0	2	3	0
5	72	8	7530	1	4	4	0
5	73	1	2312	1	2	2	2
5	73	2	5130	1	4	4	2
5	73	3	5613	1	1	1	2
5	73	4	6314	1	3	3	2
5	73	5	7014	1	4	4	2
5	73	6	7679	1	2	2	2
5	73	7	8363	0	3	4	2
5	73	8	9445	1	1	1	2
6	74	1	1433	1	4	4	2
6	74	2	4049	0	1	2	2
6	74	3	5081	1	3	3	2
6	74	4	5664	1	2	2	2
6	74	5	6265	1	4	4	2
6	74	6	6898	1	3	3	2
6	74	7	7464	1	1	1	2
6	74	8	7999	1	2	2	2
5	75	1	1465	1	2	2	0
5	75	2	4112	1	3	3	0
5	75	3	4596	1	1	1	0
5	75	4	5229	1	4	4	0
5	75	5	5896	1	3	3	0
5	75	6	6680	1	1	1	0
5	75	7	7395	1	2	2	0
5	75	8	7913	1	4	4	0
6	76	1	998	1	2	2	2
6	76	2	3680	1	4	4	2
6	76	3	4148	1	1	1	2
6	76	4	4829	1	3	3	2
6	76	5	5514	1	4	4	2
6	76	6	6164	1	2	2	2
6	76	7	6963	1	3	3	2
6	76	8	7497	1	1	1	2
5	77	1	964	1	2	2	0
5	77	2	4181	1	3	3	0
5	77	3	4697	0	1	2	0
5	77	4	5828	1	4	4	0
5	77	5	6796	1	3	3	0
5	77	6	7627	1	1	1	0
5	77	7	8063	1	2	2	0
5	77	8	8779	1	4	4	0
4	78	1	1215	1	3	3	1
4	78	2	4431	1	4	4	1
4	78	3	5414	1	2	2	1
4	78	4	5847	1	1	1	1
4	78	5	6513	1	3	3	1
4	78	6	7081	1	2	2	1
4	78	7	7597	1	4	4	1
4	78	8	8046	1	1	1	1
4	79	1	367	0	3	4	1
4	79	2	3515	1	4	4	1
4	79	3	4249	1	2	2	1
4	79	4	4847	1	1	1	1
4	79	5	5432	1	3	3	1
4	79	6	6381	1	2	2	1
4	79	7	6946	1	4	4	1
4	79	8	7414	1	1	1	1
6	80	1	1265	1	2	2	0
6	80	2	3730	1	3	3	0
6	80	3	4180	1	1	1	0
6	80	4	4664	1	4	4	0
6	80	5	5530	1	3	3	0
6	80	6	6413	1	1	1	0
6	80	7	7030	1	2	2	0
6	80	8	7714	1	4	4	0
6	81	1	997	1	2	2	0
6	81	2	3763	1	3	3	0
6	81	3	4481	1	1	1	0
6	81	4	5131	1	4	4	0
6	81	5	5963	1	3	3	0
6	81	6	6580	1	1	1	0
6	81	7	7062	1	2	2	0
6	81	8	7579	1	4	4	0
6	82	1	966	1	4	4	2
6	82	2	4332	1	1	1	2
6	82	3	4965	1	3	3	2
6	82	4	5415	1	2	2	2
6	82	5	5848	1	4	4	2
6	82	6	6481	1	3	3	2
6	82	7	7065	1	1	1	2
6	82	8	7615	1	2	2	2
6	83	1	799	1	2	2	0
6	83	2	3214	1	3	3	0
6	83	3	3832	1	1	1	0
6	83	4	4298	1	4	4	0
6	83	5	4965	1	3	3	0
6	83	6	5463	0	1	2	0
6	83	7	6230	1	2	2	0
6	83	8	6896	1	4	4	0
6	84	1	1198	1	2	2	0
6	84	2	3948	1	3	3	0
6	84	3	4399	1	1	1	0
6	84	4	4998	1	4	4	0
6	84	5	5599	1	3	3	0
6	84	6	6297	1	1	1	0
6	84	7	7064	1	2	2	0
