	BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
241	4	50	4	1529	1	2	2	0
242	4	50	5	1909	1	4	4	0
243	4	51	1	257	1	4	4	0
244	4	51	2	499	1	1	1	0
245	4	51	3	1068	1	3	3	0
246	4	51	4	1421	1	2	2	0
247	4	51	5	1855	1	4	4	0
248	4	52	1	250	1	4	4	0
249	4	52	2	540	1	1	1	0
250	4	52	3	1042	1	3	3	0
251	4	52	4	1329	1	2	2	0
252	4	52	5	1716	1	4	4	0
253	4	53	1	248	1	4	4	0
254	4	53	2	562	1	1	1	0
255	4	53	3	1173	1	3	3	0
256	4	53	4	1547	1	2	2	0
257	4	53	5	1925	1	4	4	0
258	4	54	1	271	1	4	4	0
259	4	54	2	587	1	1	1	0
260	4	54	3	1078	1	3	3	0
261	4	54	4	1439	1	2	2	0
262	4	54	5	1770	1	4	4	0
263	4	55	1	274	1	4	4	0
264	4	55	2	588	1	1	1	0
265	4	55	3	1063	1	3	3	0
266	4	55	4	1394	1	2	2	0
267	4	55	5	1750	1	4	4	0
268	4	56	1	372	1	4	4	0
269	4	56	2	617	1	1	1	0
270	4	56	3	1089	1	3	3	0
271	4	56	4	1430	1	2	2	0
272	4	56	5	1825	1	4	4	0
273	4	57	1	302	1	4	4	0
274	4	57	2	541	1	1	1	0
275	4	57	3	1315	1	3	3	0
276	4	57	4	1590	1	2	2	0
277	4	57	5	2032	1	4	4	0
278	4	58	1	208	1	4	4	0
279	4	58	2	564	1	1	1	0
280	4	58	3	977	1	3	3	0
281	4	58	4	1317	1	2	2	0
282	4	58	5	1605	1	4	4	0
283	4	59	1	271	1	4	4	0
284	4	59	2	584	1	1	1	0
285	4	59	3	1115	1	3	3	0
286	4	59	4	1441	1	2	2	0
287	4	59	5	1809	1	4	4	0
288	4	60	1	358	1	4	4	0
289	4	60	2	623	1	1	1	0
290	4	60	3	1865	1	3	3	0
291	4	60	4	2183	1	2	2	0
292	5	61	1	1093	1	4	4	0
293	5	61	2	1574	1	1	1	0
294	5	61	3	1924	1	3	3	0
295	5	61	4	2249	1	2	2	0
296	5	61	5	2620	1	4	4	0
297	5	62	1	293	1	4	4	0
298	5	62	2	581	1	1	1	0
299	5	62	3	994	1	3	3	0
300	5	62	4	1247	1	2	2	0
301	5	62	5	1615	1	4	4	0
302	5	63	1	301	1	4	4	0
303	5	63	2	774	1	1	1	0
304	5	63	3	1101	1	3	3	0
305	5	63	4	1418	1	2	2	0
306	5	63	5	1762	1	4	4	0
307	5	64	1	334	1	4	4	0
308	5	64	2	647	1	1	1	0
309	5	64	3	1042	1	3	3	0
310	5	64	4	1399	1	2	2	0
311	5	64	5	1699	1	4	4	0
312	5	65	1	242	1	4	4	0
313	5	65	2	537	1	1	1	0
314	5	65	3	911	1	3	3	0
315	5	65	4	1270	1	2	2	0
316	5	65	5	1648	1	4	4	0
317	5	66	1	271	1	4	4	0
318	5	66	2	541	1	1	1	0
319	5	66	3	923	1	3	3	0
320	5	66	4	1260	1	2	2	0
321	5	66	5	1609	1	4	4	0
322	5	67	1	236	1	4	4	0
323	5	67	2	569	1	1	1	0
324	5	67	3	894	1	3	3	0
325	5	67	4	1174	1	2	2	0
326	5	67	5	1525	1	4	4	0
327	5	68	1	372	1	4	4	0
328	5	68	2	656	1	1	1	0
329	5	68	3	999	1	3	3	0
330	5	68	4	1347	1	2	2	0
331	5	68	5	1757	1	4	4	0
332	5	69	1	279	1	4	4	0
