EventNumber	Time	isHit	Timeipi	all_lsln	hit_lsln
10	8983	1	602	602	1
1	809	1	809	809	1
2	1393	1	584	584	1
3	2196	1	803	803	1
4	3038	1	842	842	1
5	3596	1	558	558	1
6	3915	1	319	319	1
7	5840	1	1925	1925	1
8	6483	1	643	643	1
9	7432	0	949	949	0
10	8366	1	934	934	1
1	2199	1	2199	2199	1
2	3353	1	1154	1154	1
3	4314	1	961	961	1
4	5613	1	1299	1299	1
5	6770	1	1157	1157	1
6	7867	0	1097	1097	0
7	8866	1	999	999	1
8	10085	1	1219	1219	1
9	11131	1	1046	1046	1
10	12172	1	1041	1041	1
1	1538	1	1538	1538	1
2	2745	1	1207	1207	1
3	4402	1	1657	1657	1
4	5637	1	1235	1235	1
5	6946	1	1309	1309	1
6	8201	1	1255	1255	1
7	9527	1	1326	1326	1
8	10692	1	1165	1165	1
9	11958	1	1266	1266	1
10	12845	1	887	887	1
1	1643	1	1643	1643	1
2	2791	1	1148	1148	1
3	4029	1	1238	1238	1
4	5375	1	1346	1346	1
5	6611	1	1236	1236	1
6	7773	1	1162	1162	1
7	9148	1	1375	1375	1
8	10341	1	1193	1193	1
9	11775	1	1434	1434	1
10	12861	1	1086	1086	1
1	1327	1	1327	1327	1
2	2623	1	1296	1296	1
3	3853	1	1230	1230	1
4	5215	1	1362	1362	1
5	6337	1	1122	1122	1
6	7481	1	1144	1144	1
7	8565	0	1084	1084	0
8	9801	1	1236	1236	1
9	10890	1	1089	1089	1
10	11985	1	1095	1095	1
1	1168	1	1168	1168	1
2	2269	1	1101	1101	1
3	3449	1	1180	1180	1
4	4594	1	1145	1145	1
5	5789	1	1195	1195	1
6	7161	1	1372	1372	1
7	8369	1	1208	1208	1
8	9468	1	1099	1099	1
9	10810	1	1342	1342	1
10	12034	1	1224	1224	1
1	1113	1	1113	1113	1
2	2366	1	1253	1253	1
3	3375	1	1009	1009	1
4	4730	1	1355	1355	1
5	5928	1	1198	1198	1
6	7243	1	1315	1315	1
7	8347	1	1104	1104	1
8	9592	1	1245	1245	1
9	10857	1	1265	1265	1
10	11840	1	983	983	1
1	1169	1	1169	1169	1
2	2419	1	1250	1250	1
3	3541	1	1122	1122	1
4	4553	1	1012	1012	1
5	5509	1	956	956	1
6	6572	1	1063	1063	1
7	7610	1	1038	1038	1
8	9163	1	1553	1553	1
9	10623	1	1460	1460	1
10	11941	1	1318	1318	1
1	1501	1	1501	1501	1
2	2848	1	1347	1347	1
3	3631	1	783	783	1
4	4447	1	816	816	1
5	5134	1	687	687	1
6	5802	1	668	668	1
7	7013	1	1211	1211	1
8	7705	1	692	692	1
9	9123	1	1418	1418	1
10	9939	1	816	816	1
1	870	1	870	870	1
2	1538	1	668	668	1
3	2187	1	649	649	1
4	2973	1	786	786	1
5	3599	1	626	626	1
6	4047	1	448	448	1
7	4986	1	939	939	1
8	5816	1	830	830	1
9	6802	1	986	986	1
10	7615	1	813	813	1
1	909	1	909	909	1
2	1546	1	637	637	1
3	2859	1	1313	1313	1
4	3600	1	741	741	1
5	4186	1	586	586	1
6	4466	1	280	280	1
7	5165	1	699	699	1
8	5958	1	793	793	1
9	6713	1	755	755	1
10	7462	1	749	749	1
1	1048	1	1048	1048	1
2	1743	1	695	695	1
3	2482	0	739	739	0
4	4205	1	1723	1723	1
5	5205	1	1000	1000	1
6	5818	1	613	613	1
7	6504	1	686	686	1
8	7148	1	644	644	1
9	8350	1	1202	1202	1
10	8906	1	556	556	1
1	969	1	969	969	1
2	1702	1	733	733	1
3	2421	1	719	719	1
4	3301	1	880	880	1
5	4036	1	735	735	1
6	4456	1	420	420	1
7	5469	1	1013	1013	1
8	6153	1	684	684	1
9	6812	1	659	659	1
10	7693	1	881	881	1
1	750	1	750	750	1
2	1513	1	763	763	1
3	2369	1	856	856	1
4	3641	1	1272	1272	1
5	4402	1	761	761	1
6	4909	1	507	507	1
7	5901	1	992	992	1
8	6894	1	993	993	1
9	8300	1	1406	1406	1
10	9135	1	835	835	1
1	1076	1	1076	1076	1
2	1771	1	695	695	1
3	2760	1	989	989	1
4	3639	1	879	879	1
5	4700	0	1061	1061	0
6	5604	1	904	904	1
7	6721	1	1117	1117	1
8	7800	1	1079	1079	1
9	8715	1	915	915	1
10	9939	1	1224	1224	1
